evaluation_item_id,base_case_id,condition
EV-a325911102fa69ed,emergency_er_symptom_ar_hsk5,C1_Full
EV-3ac506b88df29128,emergency_er_symptom_ar_hsk5,C2_NoAgent_Monolith
EV-5b0dbc776b42bbe6,emergency_er_symptom_ar_hsk5,C3_NoA3
EV-05c1edd12ca8f260,emergency_er_symptom_ar_hsk5,C4_NoA5
EV-20b070871cc095c4,emergency_er_symptom_ar_hsk5,C5_NoA2A3
EV-c6860c091f67f19c,emergency_er_symptom_ar_hsk5,C1_Full_r2
EV-7892cfe2188593ff,campus_classroom_leave_ja_hsk5,C1_Full
EV-4b9ebf069fa65e29,campus_classroom_leave_ja_hsk5,C2_NoAgent_Monolith
EV-bcf2add5d37bad79,campus_classroom_leave_ja_hsk5,C3_NoA3
EV-79f11bd1e414c638,campus_classroom_leave_ja_hsk5,C4_NoA5
EV-9561517fb86f772c,campus_classroom_leave_ja_hsk5,C5_NoA2A3
EV-f67ea8074c3568f0,campus_classroom_leave_ja_hsk5,C1_Full_r2
EV-014b32fce2344ce5,housing_maintenance_report_fr_hsk3,C1_Full
EV-f249f3c7ab9aee79,housing_maintenance_report_fr_hsk3,C2_NoAgent_Monolith
EV-a79697b4967f61c6,housing_maintenance_report_fr_hsk3,C3_NoA3
EV-1b32fad0e778a7f8,housing_maintenance_report_fr_hsk3,C4_NoA5
EV-294284e11b2d37cf,housing_maintenance_report_fr_hsk3,C5_NoA2A3
EV-72d46cd4c93d6fb7,housing_maintenance_report_fr_hsk3,C1_Full_r2
EV-6ffd10dd42c81506,medical_pharmacy_otc_es_hsk3,C1_Full
EV-cdb2a0f5e0e344f4,medical_pharmacy_otc_es_hsk3,C2_NoAgent_Monolith
EV-6ca689c54a2c9481,medical_pharmacy_otc_es_hsk3,C3_NoA3
EV-1f04eb88cd651983,medical_pharmacy_otc_es_hsk3,C4_NoA5
EV-eecaa29171bd8f0a,medical_pharmacy_otc_es_hsk3,C5_NoA2A3
EV-b7950d6323a3e7c2,medical_pharmacy_otc_es_hsk3,C1_Full_r2
EV-bf866811be917a5b,daily_greet_basic_th_hsk3,C1_Full
EV-e2f214050acfdd56,daily_greet_basic_th_hsk3,C2_NoAgent_Monolith
EV-27b6e68d6614429a,daily_greet_basic_th_hsk3,C3_NoA3
EV-3af64f3e5e80a741,daily_greet_basic_th_hsk3,C4_NoA5
EV-1f601f17e3d479dd,daily_greet_basic_th_hsk3,C5_NoA2A3
EV-8d4ae6f1f01da1e1,daily_greet_basic_th_hsk3,C1_Full_r2
EV-3af5db61004ada94,family_gathering_serve_th_hsk5,C1_Full
EV-40517b3852288067,family_gathering_serve_th_hsk5,C2_NoAgent_Monolith
EV-3703ead02e5458b3,family_gathering_serve_th_hsk5,C3_NoA3
EV-92f11f47bcec4ce0,family_gathering_serve_th_hsk5,C4_NoA5
EV-f66f8853523d2c96,family_gathering_serve_th_hsk5,C5_NoA2A3
EV-898d78cc3e81fd24,family_gathering_serve_th_hsk5,C1_Full_r2
EV-499e6a2d17357029,food_street_order_en_hsk3,C1_Full
EV-91ca698f8f57e26f,food_street_order_en_hsk3,C2_NoAgent_Monolith
EV-c809cda9037bc67e,food_street_order_en_hsk3,C3_NoA3
EV-e57646c64d824307,food_street_order_en_hsk3,C4_NoA5
EV-71ba7a402179120e,food_street_order_en_hsk3,C5_NoA2A3
EV-f8a3878a8caf6fc5,food_street_order_en_hsk3,C1_Full_r2
EV-23bfec5c494afe39,travel_directions_basic_es_hsk5,C1_Full
EV-8fc45ebff57b5a26,travel_directions_basic_es_hsk5,C2_NoAgent_Monolith
EV-5d807f4c02315a7f,travel_directions_basic_es_hsk5,C3_NoA3
EV-82cbff73377cabe4,travel_directions_basic_es_hsk5,C4_NoA5
EV-42d318dc686f9515,travel_directions_basic_es_hsk5,C5_NoA2A3
EV-3bae3766f0cd4bba,travel_directions_basic_es_hsk5,C1_Full_r2
EV-59b36bf9c917a025,transport_navigation_basic_ru_hsk3,C1_Full
EV-2a70d4f5e2a5bc48,transport_navigation_basic_ru_hsk3,C2_NoAgent_Monolith
EV-147d72ec6e142e0e,transport_navigation_basic_ru_hsk3,C3_NoA3
EV-c8ca0ac17535e6cd,transport_navigation_basic_ru_hsk3,C4_NoA5
EV-114209c4816421bd,transport_navigation_basic_ru_hsk3,C5_NoA2A3
EV-82f4fb44cc331daa,transport_navigation_basic_ru_hsk3,C1_Full_r2
EV-df6abc9f745e53f6,entertainment_drama_recommend_ko_hsk5,C1_Full
EV-c6c243da3b11fd81,entertainment_drama_recommend_ko_hsk5,C2_NoAgent_Monolith
EV-f9faf18692caefd8,entertainment_drama_recommend_ko_hsk5,C3_NoA3
EV-e0fee8d3cc91e7c9,entertainment_drama_recommend_ko_hsk5,C4_NoA5
EV-1c9e5655777897bf,entertainment_drama_recommend_ko_hsk5,C5_NoA2A3
EV-3508fc0d842306e1,entertainment_drama_recommend_ko_hsk5,C1_Full_r2
EV-3acdde314041219a,travel_directions_basic_th_hsk3,C1_Full
EV-b3bc7660e4ae4e7a,travel_directions_basic_th_hsk3,C2_NoAgent_Monolith
